"","Anno","Mese","NaturaIncidente","Incidenti","Feriti","Morti"
"98",2001,11,"Urto con ostacolo",60,75,0
"99",2001,11,"Urto con veicolo in fermata o sosta",150,192,0
"100",2001,12,"Altre cause",55,55,0
"101",2001,12,"Fuoriuscita, sbandamento",113,119,1
"102",2001,12,"Investimento pedone",197,233,1
"103",2001,12,"Scontro frontale",36,57,0
"104",2001,12,"Scontro frontale - laterale",573,859,2
"105",2001,12,"Scontro laterale",107,121,0
"106",2001,12,"Tamponamento",161,260,0
"107",2001,12,"Urto con ostacolo",79,107,0
"108",2001,12,"Urto con veicolo in fermata o sosta",135,190,1
"109",2002,1,"Altre cause",44,47,0
"110",2002,1,"Fuoriuscita, sbandamento",85,94,0
"111",2002,1,"Investimento pedone",143,159,4
"112",2002,1,"Scontro frontale",30,42,0
"113",2002,1,"Scontro frontale - laterale",461,692,2
"114",2002,1,"Scontro laterale",107,124,1
"115",2002,1,"Tamponamento",152,239,0
"116",2002,1,"Urto con ostacolo",76,103,0
"117",2002,1,"Urto con veicolo in fermata o sosta",138,199,0
"118",2002,2,"Altre cause",22,23,0
"119",2002,2,"Fuoriuscita, sbandamento",58,63,0
"120",2002,2,"Investimento pedone",167,189,3
"121",2002,2,"Scontro frontale",20,32,1
"122",2002,2,"Scontro frontale - laterale",462,656,2
"123",2002,2,"Scontro laterale",130,167,1
"124",2002,2,"Tamponamento",140,203,0
"125",2002,2,"Urto con ostacolo",65,84,2
"126",2002,2,"Urto con veicolo in fermata o sosta",128,177,2
"127",2002,3,"Altre cause",43,50,0
"128",2002,3,"Fuoriuscita, sbandamento",74,82,0
"129",2002,3,"Investimento pedone",172,195,0
"130",2002,3,"Scontro frontale",35,64,0
"131",2002,3,"Scontro frontale - laterale",559,899,2
"132",2002,3,"Scontro laterale",165,185,0
"133",2002,3,"Tamponamento",177,274,0
"134",2002,3,"Urto con ostacolo",72,89,1
"135",2002,3,"Urto con veicolo in fermata o sosta",138,183,0
"136",2002,4,"Altre cause",29,33,0
"137",2002,4,"Fuoriuscita, sbandamento",103,114,1
"138",2002,4,"Investimento pedone",149,179,5
"139",2002,4,"Scontro frontale",17,30,0
"140",2002,4,"Scontro frontale - laterale",584,900,2
"141",2002,4,"Scontro laterale",151,182,0
"142",2002,4,"Tamponamento",181,301,0
"143",2002,4,"Urto con ostacolo",74,87,2
"144",2002,4,"Urto con veicolo in fermata o sosta",151,213,0
"145",2002,5,"Altre cause",37,38,0
"146",2002,5,"Fuoriuscita, sbandamento",110,117,0
"147",2002,5,"Investimento pedone",194,232,3
"148",2002,5,"Scontro frontale",40,53,0
"149",2002,5,"Scontro frontale - laterale",585,886,1
"150",2002,5,"Scontro laterale",201,242,1
"151",2002,5,"Tamponamento",204,314,0
"152",2002,5,"Urto con ostacolo",80,98,0
"153",2002,5,"Urto con veicolo in fermata o sosta",175,233,1
"154",2002,6,"Altre cause",48,50,0
"155",2002,6,"Fuoriuscita, sbandamento",111,126,1
"156",2002,6,"Investimento pedone",148,184,0
"157",2002,6,"Scontro frontale",28,43,0
"158",2002,6,"Scontro frontale - laterale",571,829,5
"159",2002,6,"Scontro laterale",187,213,1
"160",2002,6,"Tamponamento",183,277,0
"161",2002,6,"Urto con ostacolo",73,94,0
"162",2002,6,"Urto con veicolo in fermata o sosta",170,231,0
"163",2002,7,"Altre cause",63,77,0
"164",2002,7,"Fuoriuscita, sbandamento",120,135,0
"165",2002,7,"Investimento pedone",129,155,2
"166",2002,7,"Scontro frontale",36,56,0
"167",2002,7,"Scontro frontale - laterale",588,872,3
"168",2002,7,"Scontro laterale",246,283,1
"169",2002,7,"Tamponamento",244,372,2
"170",2002,7,"Urto con ostacolo",91,104,0
"171",2002,7,"Urto con veicolo in fermata o sosta",174,233,0
"172",2002,8,"Altre cause",31,39,0
"173",2002,8,"Fuoriuscita, sbandamento",63,72,0
"174",2002,8,"Investimento pedone",48,58,1
"175",2002,8,"Scontro frontale",10,14,0
"176",2002,8,"Scontro frontale - laterale",321,522,0
"177",2002,8,"Scontro laterale",80,98,1
"178",2002,8,"Tamponamento",96,144,0
"179",2002,8,"Urto con ostacolo",59,64,3
"180",2002,8,"Urto con veicolo in fermata o sosta",84,130,0
"181",2002,9,"Altre cause",38,38,0
"182",2002,9,"Fuoriuscita, sbandamento",107,126,0
"183",2002,9,"Investimento pedone",156,190,2
"184",2002,9,"Scontro frontale",25,34,0
"185",2002,9,"Scontro frontale - laterale",566,831,2
"186",2002,9,"Scontro laterale",179,211,0
"187",2002,9,"Tamponamento",207,324,0
"188",2002,9,"Urto con ostacolo",79,96,1
"189",2002,9,"Urto con veicolo in fermata o sosta",179,232,0
"190",2002,10,"Altre cause",60,64,0
"191",2002,10,"Fuoriuscita, sbandamento",126,134,0
"192",2002,10,"Investimento pedone",185,234,2
"193",2002,10,"Scontro frontale",36,65,0
"194",2002,10,"Scontro frontale - laterale",691,997,2
"195",2002,10,"Scontro laterale",198,219,0
"196",2002,10,"Tamponamento",227,330,0
"197",2002,10,"Urto con ostacolo",69,79,1
"198",2002,10,"Urto con veicolo in fermata o sosta",186,265,0
"199",2002,11,"Altre cause",48,55,0
"200",2002,11,"Fuoriuscita, sbandamento",124,134,0
"201",2002,11,"Investimento pedone",249,302,4
"202",2002,11,"Scontro frontale",48,73,0
"203",2002,11,"Scontro frontale - laterale",634,957,2
"204",2002,11,"Scontro laterale",149,178,1
"205",2002,11,"Tamponamento",203,315,0
"206",2002,11,"Urto con ostacolo",72,93,1
"207",2002,11,"Urto con veicolo in fermata o sosta",173,218,0
"208",2002,12,"Altre cause",31,37,0
"209",2002,12,"Fuoriuscita, sbandamento",78,83,0
"210",2002,12,"Investimento pedone",166,201,0
"211",2002,12,"Scontro frontale",34,54,0
"212",2002,12,"Scontro frontale - laterale",555,835,1
"213",2002,12,"Scontro laterale",140,184,0
"214",2002,12,"Tamponamento",180,296,0
"215",2002,12,"Urto con ostacolo",76,100,0
"216",2002,12,"Urto con veicolo in fermata o sosta",163,218,0
"217",2003,1,"Altre cause",32,33,0
"218",2003,1,"Fuoriuscita, sbandamento",70,78,0
"219",2003,1,"Investimento pedone",163,199,0
"220",2003,1,"Scontro frontale",28,59,0
"221",2003,1,"Scontro frontale - laterale",482,753,1
"222",2003,1,"Scontro laterale",110,127,0
"223",2003,1,"Tamponamento",139,217,0
"224",2003,1,"Urto con ostacolo",80,98,1
"225",2003,1,"Urto con veicolo in fermata o sosta",132,170,0
"226",2003,2,"Altre cause",31,31,0
"227",2003,2,"Fuoriuscita, sbandamento",73,79,0
"228",2003,2,"Investimento pedone",127,150,1
"229",2003,2,"Scontro frontale",19,48,1
"230",2003,2,"Scontro frontale - laterale",472,717,0
"231",2003,2,"Scontro laterale",121,142,0
"232",2003,2,"Tamponamento",133,194,0
"233",2003,2,"Urto con ostacolo",56,60,3
"234",2003,2,"Urto con veicolo in fermata o sosta",114,157,0
"235",2003,3,"Altre cause",33,35,0
"236",2003,3,"Fuoriuscita, sbandamento",94,102,1
"237",2003,3,"Investimento pedone",181,216,2
"238",2003,3,"Scontro frontale",22,37,0
"239",2003,3,"Scontro frontale - laterale",561,866,0
"240",2003,3,"Scontro laterale",166,200,1
"241",2003,3,"Tamponamento",195,298,0
"242",2003,3,"Urto con ostacolo",62,71,4
"243",2003,3,"Urto con veicolo in fermata o sosta",165,220,0
"244",2003,4,"Altre cause",36,43,0
"245",2003,4,"Fuoriuscita, sbandamento",117,132,0
"246",2003,4,"Investimento pedone",131,152,1
"247",2003,4,"Scontro frontale",24,37,0
"248",2003,4,"Scontro frontale - laterale",560,830,0
"249",2003,4,"Scontro laterale",139,171,0
"250",2003,4,"Tamponamento",158,225,0
"251",2003,4,"Urto con ostacolo",72,85,4
"252",2003,4,"Urto con veicolo in fermata o sosta",170,226,0
"253",2003,5,"Altre cause",62,72,0
"254",2003,5,"Fuoriuscita, sbandamento",153,168,0
"255",2003,5,"Investimento pedone",159,188,2
"256",2003,5,"Scontro frontale",28,47,0
"257",2003,5,"Scontro frontale - laterale",633,920,3
"258",2003,5,"Scontro laterale",212,251,2
"259",2003,5,"Tamponamento",206,330,1
"260",2003,5,"Urto con ostacolo",90,104,2
"261",2003,5,"Urto con veicolo in fermata o sosta",206,278,0
"262",2003,6,"Altre cause",54,58,0
"263",2003,6,"Fuoriuscita, sbandamento",143,159,0
"264",2003,6,"Investimento pedone",142,164,1
"265",2003,6,"Scontro frontale",46,72,0
"266",2003,6,"Scontro frontale - laterale",610,883,4
"267",2003,6,"Scontro laterale",201,243,0
"268",2003,6,"Tamponamento",193,291,2
"269",2003,6,"Urto con ostacolo",71,87,4
"270",2003,6,"Urto con veicolo in fermata o sosta",167,206,1
"271",2003,7,"Altre cause",60,65,0
"272",2003,7,"Fuoriuscita, sbandamento",137,149,0
"273",2003,7,"Investimento pedone",137,162,2
"274",2003,7,"Scontro frontale",24,36,1
"275",2003,7,"Scontro frontale - laterale",470,661,1
"276",2003,7,"Scontro laterale",201,240,0
"277",2003,7,"Tamponamento",155,203,0
"278",2003,7,"Urto con ostacolo",81,96,0
"279",2003,7,"Urto con veicolo in fermata o sosta",158,194,0
"280",2003,8,"Altre cause",31,34,0
"281",2003,8,"Fuoriuscita, sbandamento",72,79,0
"282",2003,8,"Investimento pedone",39,46,2
"283",2003,8,"Scontro frontale",16,27,1
"284",2003,8,"Scontro frontale - laterale",252,376,1
"285",2003,8,"Scontro laterale",71,83,0
"286",2003,8,"Tamponamento",83,135,0
"287",2003,8,"Urto con ostacolo",40,51,1
"288",2003,8,"Urto con veicolo in fermata o sosta",95,130,0
"289",2003,9,"Altre cause",50,54,0
"290",2003,9,"Fuoriuscita, sbandamento",119,138,0
"291",2003,9,"Investimento pedone",137,166,4
"292",2003,9,"Scontro frontale",17,21,0
"293",2003,9,"Scontro frontale - laterale",475,686,1
"294",2003,9,"Scontro laterale",182,219,1
"295",2003,9,"Tamponamento",188,265,1
"296",2003,9,"Urto con ostacolo",68,83,1
"297",2003,9,"Urto con veicolo in fermata o sosta",168,207,1
"298",2003,10,"Altre cause",52,63,0
"299",2003,10,"Fuoriuscita, sbandamento",157,166,0
"300",2003,10,"Investimento pedone",233,282,3
"301",2003,10,"Scontro frontale",32,45,0
"302",2003,10,"Scontro frontale - laterale",589,826,1
"303",2003,10,"Scontro laterale",174,199,0
"304",2003,10,"Tamponamento",224,339,0
"305",2003,10,"Urto con ostacolo",71,78,1
"306",2003,10,"Urto con veicolo in fermata o sosta",174,248,0
"307",2003,11,"Altre cause",43,45,0
"308",2003,11,"Fuoriuscita, sbandamento",130,140,0
"309",2003,11,"Investimento pedone",188,230,3
"310",2003,11,"Scontro frontale",26,34,0
"311",2003,11,"Scontro frontale - laterale",506,739,0
"312",2003,11,"Scontro laterale",141,168,1
"313",2003,11,"Tamponamento",153,236,0
"314",2003,11,"Urto con ostacolo",61,68,2
"315",2003,11,"Urto con veicolo in fermata o sosta",189,253,1
"316",2003,12,"Altre cause",28,29,0
"317",2003,12,"Fuoriuscita, sbandamento",106,110,0
"318",2003,12,"Investimento pedone",190,230,0
"319",2003,12,"Scontro frontale",30,51,0
"320",2003,12,"Scontro frontale - laterale",555,815,0
"321",2003,12,"Scontro laterale",120,141,0
"322",2003,12,"Tamponamento",156,211,0
"323",2003,12,"Urto con ostacolo",66,81,0
"324",2003,12,"Urto con veicolo in fermata o sosta",155,210,0
"325",2004,1,"Altre cause",34,35,0
"326",2004,1,"Fuoriuscita, sbandamento",111,117,0
"327",2004,1,"Investimento pedone",139,166,3
"328",2004,1,"Scontro frontale",17,26,0
"329",2004,1,"Scontro frontale - laterale",456,681,3
"330",2004,1,"Scontro laterale",121,143,0
"331",2004,1,"Tamponamento",144,229,0
"332",2004,1,"Urto con ostacolo",70,90,0
"333",2004,1,"Urto con veicolo in fermata o sosta",119,148,0
"334",2004,2,"Altre cause",26,26,0
"335",2004,2,"Fuoriuscita, sbandamento",91,98,0
"336",2004,2,"Investimento pedone",138,163,4
"337",2004,2,"Scontro frontale",22,27,0
"338",2004,2,"Scontro frontale - laterale",443,676,1
"339",2004,2,"Scontro laterale",97,107,0
"340",2004,2,"Tamponamento",129,191,0
"341",2004,2,"Urto con ostacolo",63,81,0
"342",2004,2,"Urto con veicolo in fermata o sosta",123,170,0
"343",2004,3,"Altre cause",28,30,0
"344",2004,3,"Fuoriuscita, sbandamento",91,94,0
"345",2004,3,"Investimento pedone",145,175,1
"346",2004,3,"Scontro frontale",18,26,1
"347",2004,3,"Scontro frontale - laterale",517,746,0
"348",2004,3,"Scontro laterale",151,175,0
"349",2004,3,"Tamponamento",156,252,0
"350",2004,3,"Urto con ostacolo",59,71,0
"351",2004,3,"Urto con veicolo in fermata o sosta",133,173,0
"352",2004,4,"Altre cause",40,42,0
"353",2004,4,"Fuoriuscita, sbandamento",123,138,0
"354",2004,4,"Investimento pedone",158,182,1
"355",2004,4,"Scontro frontale",23,43,1
"356",2004,4,"Scontro frontale - laterale",510,724,1
"357",2004,4,"Scontro laterale",147,178,2
"358",2004,4,"Tamponamento",174,272,0
"359",2004,4,"Urto con ostacolo",58,66,1
"360",2004,4,"Urto con veicolo in fermata o sosta",158,241,0
"361",2004,5,"Altre cause",45,59,0
"362",2004,5,"Fuoriuscita, sbandamento",143,148,2
"363",2004,5,"Investimento pedone",180,213,5
"364",2004,5,"Scontro frontale",26,39,0
"365",2004,5,"Scontro frontale - laterale",529,764,1
"366",2004,5,"Scontro laterale",192,229,0
"367",2004,5,"Tamponamento",189,269,0
"368",2004,5,"Urto con ostacolo",76,98,0
"369",2004,5,"Urto con veicolo in fermata o sosta",198,280,1
"370",2004,6,"Altre cause",46,50,0
"371",2004,6,"Fuoriuscita, sbandamento",160,176,1
"372",2004,6,"Investimento pedone",141,168,4
"373",2004,6,"Scontro frontale",22,34,0
"374",2004,6,"Scontro frontale - laterale",533,808,2
"375",2004,6,"Scontro laterale",235,290,0
"376",2004,6,"Tamponamento",193,279,0
"377",2004,6,"Urto con ostacolo",79,81,3
"378",2004,6,"Urto con veicolo in fermata o sosta",168,236,1
"379",2004,7,"Altre cause",29,31,0
"380",2004,7,"Fuoriuscita, sbandamento",184,201,0
"381",2004,7,"Investimento pedone",114,139,1
"382",2004,7,"Scontro frontale",27,36,0
"383",2004,7,"Scontro frontale - laterale",515,747,1
"384",2004,7,"Scontro laterale",204,242,0
"385",2004,7,"Tamponamento",194,288,2
"386",2004,7,"Urto con ostacolo",80,92,0
"387",2004,7,"Urto con veicolo in fermata o sosta",182,227,0
"388",2004,8,"Altre cause",15,18,0
"389",2004,8,"Fuoriuscita, sbandamento",62,72,0
"390",2004,8,"Investimento pedone",50,61,1
"391",2004,8,"Scontro frontale",16,25,0
"392",2004,8,"Scontro frontale - laterale",258,378,1
"393",2004,8,"Scontro laterale",85,104,0
"394",2004,8,"Tamponamento",70,103,0
"395",2004,8,"Urto con ostacolo",58,66,0
"396",2004,8,"Urto con veicolo in fermata o sosta",85,120,0
"397",2004,9,"Altre cause",33,39,0
"398",2004,9,"Fuoriuscita, sbandamento",142,152,0
"399",2004,9,"Investimento pedone",152,188,3
"400",2004,9,"Scontro frontale",33,50,0
"401",2004,9,"Scontro frontale - laterale",513,746,0
"402",2004,9,"Scontro laterale",181,209,0
"403",2004,9,"Tamponamento",174,285,1
"404",2004,9,"Urto con ostacolo",69,81,1
"405",2004,9,"Urto con veicolo in fermata o sosta",163,206,1
"406",2004,10,"Altre cause",47,51,0
"407",2004,10,"Fuoriuscita, sbandamento",184,192,1
"408",2004,10,"Investimento pedone",166,198,1
"409",2004,10,"Scontro frontale",24,30,0
"410",2004,10,"Scontro frontale - laterale",596,868,2
"411",2004,10,"Scontro laterale",185,218,1
"412",2004,10,"Tamponamento",207,334,0
"413",2004,10,"Urto con ostacolo",94,109,2
"414",2004,10,"Urto con veicolo in fermata o sosta",207,256,2
"415",2004,11,"Altre cause",26,28,0
"416",2004,11,"Fuoriuscita, sbandamento",119,130,1
"417",2004,11,"Investimento pedone",203,252,1
"418",2004,11,"Scontro frontale",31,66,1
"419",2004,11,"Scontro frontale - laterale",467,684,3
"420",2004,11,"Scontro laterale",165,189,0
"421",2004,11,"Tamponamento",159,256,0
"422",2004,11,"Urto con ostacolo",68,89,2
"423",2004,11,"Urto con veicolo in fermata o sosta",137,177,0
"424",2004,12,"Altre cause",28,29,0
"425",2004,12,"Fuoriuscita, sbandamento",131,135,1
"426",2004,12,"Investimento pedone",161,189,3
"427",2004,12,"Scontro frontale",27,38,1
"428",2004,12,"Scontro frontale - laterale",503,783,1
"429",2004,12,"Scontro laterale",130,158,0
"430",2004,12,"Tamponamento",149,227,0
"431",2004,12,"Urto con ostacolo",71,78,1
"432",2004,12,"Urto con veicolo in fermata o sosta",156,210,0
"433",2005,1,"Altre cause",24,24,0
"434",2005,1,"Fuoriuscita, sbandamento",83,91,0
"435",2005,1,"Investimento pedone",125,147,3
"436",2005,1,"Scontro frontale",24,29,1
"437",2005,1,"Scontro frontale - laterale",399,634,1
"438",2005,1,"Scontro laterale",106,124,0
"439",2005,1,"Tamponamento",141,213,1
"440",2005,1,"Urto con ostacolo",47,53,1
"441",2005,1,"Urto con veicolo in fermata o sosta",119,167,1
"442",2005,2,"Altre cause",24,24,1
"443",2005,2,"Fuoriuscita, sbandamento",112,114,1
"444",2005,2,"Investimento pedone",149,181,3
"445",2005,2,"Scontro frontale",23,43,0
"446",2005,2,"Scontro frontale - laterale",398,603,2
"447",2005,2,"Scontro laterale",104,120,0
"448",2005,2,"Tamponamento",130,204,0
"449",2005,2,"Urto con ostacolo",45,50,1
"450",2005,2,"Urto con veicolo in fermata o sosta",113,154,2
"451",2005,3,"Altre cause",19,20,0
"452",2005,3,"Fuoriuscita, sbandamento",90,93,0
"453",2005,3,"Investimento pedone",172,199,3
"454",2005,3,"Scontro frontale",21,29,0
"455",2005,3,"Scontro frontale - laterale",432,626,6
"456",2005,3,"Scontro laterale",117,138,1
"457",2005,3,"Tamponamento",126,192,0
"458",2005,3,"Urto con ostacolo",60,73,0
"459",2005,3,"Urto con veicolo in fermata o sosta",148,194,0
"460",2005,4,"Altre cause",30,36,0
"461",2005,4,"Fuoriuscita, sbandamento",94,101,0
"462",2005,4,"Investimento pedone",147,168,1
"463",2005,4,"Scontro frontale",14,20,0
"464",2005,4,"Scontro frontale - laterale",461,670,0
"465",2005,4,"Scontro laterale",158,190,1
"466",2005,4,"Tamponamento",181,275,1
"467",2005,4,"Urto con ostacolo",59,70,2
"468",2005,4,"Urto con veicolo in fermata o sosta",165,207,0
"469",2005,5,"Altre cause",35,48,0
"470",2005,5,"Fuoriuscita, sbandamento",146,154,1
"471",2005,5,"Investimento pedone",157,185,3
"472",2005,5,"Scontro frontale",33,46,0
"473",2005,5,"Scontro frontale - laterale",531,770,1
"474",2005,5,"Scontro laterale",205,241,1
"475",2005,5,"Tamponamento",182,275,0
"476",2005,5,"Urto con ostacolo",64,74,1
"477",2005,5,"Urto con veicolo in fermata o sosta",187,245,0
"478",2005,6,"Altre cause",51,60,0
"479",2005,6,"Fuoriuscita, sbandamento",150,168,1
"480",2005,6,"Investimento pedone",126,166,2
"481",2005,6,"Scontro frontale",24,64,0
"482",2005,6,"Scontro frontale - laterale",478,696,0
"483",2005,6,"Scontro laterale",190,216,0
"484",2005,6,"Tamponamento",174,261,0
"485",2005,6,"Urto con ostacolo",79,92,1
"486",2005,6,"Urto con veicolo in fermata o sosta",164,206,0
"487",2005,7,"Altre cause",46,51,0
"488",2005,7,"Fuoriuscita, sbandamento",137,153,0
"489",2005,7,"Investimento pedone",114,136,1
"490",2005,7,"Scontro frontale",30,38,0
"491",2005,7,"Scontro frontale - laterale",525,764,4
"492",2005,7,"Scontro laterale",168,206,0
"493",2005,7,"Tamponamento",168,258,0
"494",2005,7,"Urto con ostacolo",67,76,0
"495",2005,7,"Urto con veicolo in fermata o sosta",170,217,0
"496",2005,8,"Altre cause",30,34,0
"497",2005,8,"Fuoriuscita, sbandamento",90,101,0
"498",2005,8,"Investimento pedone",57,63,4
"499",2005,8,"Scontro frontale",14,24,0
"500",2005,8,"Scontro frontale - laterale",283,421,0
"501",2005,8,"Scontro laterale",97,117,0
"502",2005,8,"Tamponamento",82,119,0
"503",2005,8,"Urto con ostacolo",57,73,0
"504",2005,8,"Urto con veicolo in fermata o sosta",86,117,0
"505",2005,9,"Altre cause",30,30,1
"506",2005,9,"Fuoriuscita, sbandamento",162,173,0
"507",2005,9,"Investimento pedone",155,184,7
"508",2005,9,"Scontro frontale",26,41,0
"509",2005,9,"Scontro frontale - laterale",441,650,1
"510",2005,9,"Scontro laterale",161,191,0
"511",2005,9,"Tamponamento",159,260,0
"512",2005,9,"Urto con ostacolo",49,62,1
"513",2005,9,"Urto con veicolo in fermata o sosta",159,196,0
"514",2005,10,"Altre cause",31,34,0
"515",2005,10,"Fuoriuscita, sbandamento",135,143,1
"516",2005,10,"Investimento pedone",164,195,3
"517",2005,10,"Scontro frontale",25,30,0
"518",2005,10,"Scontro frontale - laterale",508,764,2
"519",2005,10,"Scontro laterale",174,198,0
"520",2005,10,"Tamponamento",162,248,0
"521",2005,10,"Urto con ostacolo",60,70,0
"522",2005,10,"Urto con veicolo in fermata o sosta",149,189,1
"523",2005,11,"Altre cause",35,38,0
"524",2005,11,"Fuoriuscita, sbandamento",164,174,1
"525",2005,11,"Investimento pedone",174,202,1
"526",2005,11,"Scontro frontale",32,45,0
"527",2005,11,"Scontro frontale - laterale",513,755,2
"528",2005,11,"Scontro laterale",145,166,0
"529",2005,11,"Tamponamento",167,270,0
"530",2005,11,"Urto con ostacolo",67,83,0
"531",2005,11,"Urto con veicolo in fermata o sosta",158,221,1
"532",2005,12,"Altre cause",34,37,0
"533",2005,12,"Fuoriuscita, sbandamento",93,103,0
"534",2005,12,"Investimento pedone",164,199,6
"535",2005,12,"Scontro frontale",27,41,0
"536",2005,12,"Scontro frontale - laterale",383,610,1
"537",2005,12,"Scontro laterale",99,118,1
"538",2005,12,"Tamponamento",129,200,0
"539",2005,12,"Urto con ostacolo",72,91,0
"540",2005,12,"Urto con veicolo in fermata o sosta",118,161,0
"541",2006,1,"Altre cause",34,36,0
"542",2006,1,"Fuoriuscita, sbandamento",165,177,1
"543",2006,1,"Investimento pedone",155,177,4
"544",2006,1,"Scontro frontale",27,40,0
"545",2006,1,"Scontro frontale - laterale",389,581,0
"546",2006,1,"Scontro laterale",100,114,0
"547",2006,1,"Tamponamento",119,195,0
"548",2006,1,"Urto con ostacolo",79,103,3
"549",2006,1,"Urto con veicolo in fermata o sosta",139,205,0
"550",2006,2,"Altre cause",12,15,0
"551",2006,2,"Fuoriuscita, sbandamento",81,83,3
"552",2006,2,"Investimento pedone",145,172,3
"553",2006,2,"Scontro frontale",9,10,2
"554",2006,2,"Scontro frontale - laterale",344,518,3
